stem,strategy,wait_ratio,loss_ratio,base_wait,act_wait,base_loss,act_loss,composite_w0.50,composite_w0.60,composite_w0.70
traffic_data_20260527_150649,baseline_original,0.8859223300970874,0.9065863108049935,57.68,51.1,69.69,63.18,0.8962543204510405,0.8941879223802498,0.8921215243094593
traffic_data_20260527_151149,no_control,1.0,1.0,21.26,21.26,27.45,27.45,1.0,1.0,1.0
traffic_data_20260527_151649,adaptive,0.9818181818181818,0.9832483612527312,8.25,8.1,13.73,13.5,0.9825332715354564,0.9823902535920016,0.9822472356485467
traffic_data_20260527_152149,adaptive,0.9835796387520526,0.9871553884711779,24.36,23.96,31.92,31.51,0.9853675136116152,0.9850099386397027,0.9846523636677902
traffic_data_20260527_152649,baseline_original,0.934023782125048,0.953012395503027,26.07,24.35,34.69,33.06,0.9435180888140375,0.9416192274762396,0.9397203661384417
traffic_data_20260527_153149,baseline_original,0.9698890649762282,0.9753653444676409,37.86,36.72,47.9,46.72,0.9726272047219345,0.9720795767727932,0.971531948823652
traffic_data_20260527_153649,no_control,1.0,1.0,71.4,71.4,80.22,80.22,1.0,1.0,1.0
traffic_data_20260527_154149,no_control,1.0,1.0,37.43,37.43,47.08,47.08,1.0,1.0,1.0
traffic_data_20260527_154649,baseline_more_edges_more_tls,0.9779022720199191,0.983735830458354,32.13,31.42,40.58,39.92,0.9808190512391366,0.9802356953952931,0.9796523395514496
traffic_data_20260527_155149,adaptive,0.9991850040749797,0.9972811310494833,12.27,12.26,18.39,18.34,0.9982330675622315,0.9984234548647811,0.9986138421673307
traffic_data_20260527_155649,baseline_original,0.9751630707476167,0.977738376674547,39.86,38.87,50.76,49.63,0.9764507237110818,0.9761931931183888,0.9759356625256959
traffic_data_20260527_160149,adaptive,0.8812544045102185,0.8924406047516198,56.76,50.02,69.45,61.98,0.8868475046309192,0.885728884606779,0.884610264582639
traffic_data_20260527_160649,baseline_more_edges,0.9739631764924678,0.9758327890267798,53.77,52.37,61.24,59.76,0.9748979827596238,0.9747110215061926,0.9745240602527614
traffic_data_20260527_161149,adaptive,0.9677152317880794,0.9794952681388013,12.08,11.69,19.02,18.63,0.9736052499634403,0.9724272463283682,0.9712492426932959
traffic_data_20260527_161649,baseline_more_edges_more_tls,0.8809434668663422,0.9043478260869565,26.71,23.53,34.5,31.2,0.8926456464766493,0.8903052105545879,0.8879647746325265
traffic_data_20260527_162149,baseline_more_edges_more_tls,0.9096834264432029,0.9274390243902441,10.74,9.77,16.4,15.21,0.9185612254167235,0.9167856656220194,0.9150101058273152
traffic_data_20260527_162649,no_control,1.0,1.0,13.92,13.92,19.81,19.81,1.0,1.0,1.0
