Detector;Time;qPKW;vPKW
Z7230E0_ZK7KP40;265.00;72;38.65
ZJHKR20_ZJWJ740;265.00;112;40.47
ZKJJP20;265.00;150;40.15
ZK9KC60;265.00;117;41.02
ZJQJI20;265.00;120;41.97
ZJTJ820;265.00;132;44.13
ZJHKR40;270.00;122;30.82
ZJ7KV40_ZINKW40;270.00;72;42.93
ZJSJD40;270.00;118;18.61
ZK5JW60;270.00;42;36.67
ZK7K820;270.00;22;34.91
Z7230E0_ZK7KP40;270.00;67;39.94
ZJHKR20_ZJWJ740;270.00;99;43.89
ZKJJP20;270.00;171;39.84
ZK9KC60;270.00;139;41.84
ZJQJI20;270.00;110;40.15
ZJTJ820;270.00;140;43.56
ZJHKR40;275.00;76;33.83
ZJ7KV40_ZINKW40;275.00;64;40.73
ZJSJD40;275.00;91;24.36
ZK5JW60;275.00;46;32.04
ZK7K820;275.00;20;45.55
Z7230E0_ZK7KP40;275.00;86;37.91
ZJHKR20_ZJWJ740;275.00;126;39.37
ZKJJP20;275.00;159;37.86
ZK9KC60;275.00;114;35.18
ZJQJI20;275.00;120;40.65
ZJTJ820;275.00;139;48.94
ZJHKR40;280.00;105;31.5
ZJ7KV40_ZINKW40;280.00;84;43.04
ZJSJD40;280.00;132;17.4
ZK5JW60;280.00;45;33.78
ZK7K820;280.00;21;31.67
Z7230E0_ZK7KP40;280.00;79;35.37
ZJHKR20_ZJWJ740;280.00;122;40.61
ZKJJP20;280.00;153;42.97
ZK9KC60;280.00;98;38.11
ZJQJI20;280.00;130;36.74
ZJTJ820;280.00;130;43.67
ZJHKR40;285.00;49;29.9
ZJ7KV40_ZINKW40;285.00;61;39.07
ZJSJD40;285.00;85;19.82
ZK5JW60;285.00;71;31.97
ZK7K820;285.00;27;40.44
Z7230E0_ZK7KP40;285.00;77;39.81
ZJHKR20_ZJWJ740;285.00;129;35.06
ZKJJP20;285.00;137;40.67
ZK9KC60;285.00;111;40.47
ZJQJI20;285.00;135;37.19
ZJTJ820;285.00;162;42.87
ZJHKR40;290.00;99;28.71
ZJ7KV40_ZINKW40;290.00;89;40.61
ZJSJD40;290.00;105;23.66
ZK5JW60;290.00;29;38.52
ZK7K820;290.00;19;36.37
Z7230E0_ZK7KP40;290.00;80;39.64
ZJHKR20_ZJWJ740;290.00;107;39.46
ZKJJP20;290.00;165;42.48
ZK9KC60;290.00;139;42.32
ZJQJI20;290.00;127;40.86
ZJTJ820;290.00;147;40.03
ZJHKR40;295.00;51;25.75
ZJ7KV40_ZINKW40;295.00;68;39.67
ZJSJD40;295.00;107;16.26
ZK5JW60;295.00;60;34.33
ZK7K820;295.00;41;35.59
Z7230E0_ZK7KP40;295.00;80;34.8
ZJHKR20_ZJWJ740;295.00;129;39.6
ZKJJP20;295.00;147;39.62
ZK9KC60;295.00;120;42.91
ZJQJI20;295.00;98;38.8
ZJTJ820;295.00;151;38.05
ZJHKR40;300.00;81;35.04
ZJ7KV40_ZINKW40;300.00;85;41.99
ZJSJD40;300.00;142;22.04
ZK5JW60;300.00;40;32.75
ZK7K820;300.00;20;34.7
Z7230E0_ZK7KP40;300.00;73;37.31
ZJHKR20_ZJWJ740;300.00;130;39.85
ZKJJP20;300.00;155;44.11
ZK9KC60;300.00;143;48.43
ZJQJI20;300.00;123;39.8
ZJTJ820;300.00;132;43.37
ZJHKR40;305.00;64;31.69
ZJ7KV40_ZINKW40;305.00;76;34.84
ZJSJD40;305.00;89;17.53
ZK5JW60;305.00;79;29.8
ZK7K820;305.00;49;28.84
Z7230E0_ZK7KP40;305.00;83;38.62
ZJHKR20_ZJWJ740;305.00;135;37.0
ZKJJP20;305.00;139;41.81
ZK9KC60;305.00;109;39.61
ZJQJI20;305.00;116;40.79
ZJTJ820;305.00;130;45.28
ZJHKR40;310.00;74;27.45
ZJ7KV40_ZINKW40;310.00;91;37.52
ZJSJD40;310.00;154;22.19
ZK5JW60;310.00;31;37.81
ZK7K820;310.00;18;41.78
Z7230E0_ZK7KP40;310.00;77;34.92
ZJHKR20_ZJWJ740;310.00;123;38.85
